Fold,Top_Protein_K,Threshold,N_Base_Selected_Features,N_Prior_Features,N_Total_Features,SN,SP,ACC,MCC,AUC,AUPR,TP,FP,FN,TN,Train_Before_ENN,Train_After_ENN,Suspicious_Negative_N,Weight_Mean_Before_ENN,Weight_Mean_After_ENN
1,320,0.5,384,11,395,0.7688984881209503,0.9327176781002638,0.8943911066195048,0.7042751055007866,0.9414773731030277,0.8435553172142637,356,102,107,1414,"{'1': 4163, '0': 13647}","{'0': 12926, '1': 4163}",799,0.9794430732727051,0.9854095578193665
2,320,0.5,384,11,395,0.7645788336933045,0.9175461741424802,0.8817584638706417,0.6742030016040187,0.937500356172034,0.8387458036798874,354,125,109,1391,"{'1': 4163, '0': 13647}","{'0': 12877, '1': 4163}",797,0.9797074794769287,0.9854803681373596
3,320,0.5,384,11,395,0.7796976241900648,0.9234828496042217,0.8898433552299141,0.6960056143395542,0.9349594248818933,0.8110307048935047,361,116,102,1400,"{'1': 4163, '0': 13647}","{'0': 12883, '1': 4163}",806,0.9794599413871765,0.9856261014938354
4,320,0.5,384,11,395,0.7408207343412527,0.9188654353562006,0.877210712481051,0.658210874313331,0.9284179693065187,0.7968179378846622,343,123,120,1393,"{'1': 4163, '0': 13647}","{'0': 12890, '1': 4163}",831,0.9790441989898682,0.985352635383606
5,320,0.5,384,11,395,0.7473002159827213,0.9346965699208444,0.8908539666498232,0.6915597980243758,0.9413121092792788,0.8405636932793267,346,99,117,1417,"{'1': 4163, '0': 13647}","{'0': 12894, '1': 4163}",813,0.9791849255561829,0.9856649041175842
6,320,0.5,384,11,395,0.775377969762419,0.9373350923482849,0.89944416371905,0.7176157571193287,0.9414232349538687,0.8452222660210684,359,95,104,1421,"{'1': 4163, '0': 13647}","{'0': 12896, '1': 4163}",827,0.9788404703140259,0.9848225712776184
7,320,0.5,384,11,395,0.7943722943722944,0.94067237969677,0.9065184436584134,0.7378398155708972,0.9465616233908917,0.8646887695024517,367,90,95,1427,"{'1': 4164, '0': 13646}","{'0': 12882, '1': 4164}",810,0.9792686104774475,0.9851614832878113
8,320,0.5,384,11,395,0.7965367965367965,0.9261700725115359,0.8959070237493684,0.71327093210147,0.9434561263829557,0.8568644435267487,368,112,94,1405,"{'1': 4164, '0': 13646}","{'0': 12849, '1': 4164}",804,0.9795911908149719,0.9856624007225037
9,320,0.5,384,11,395,0.7640692640692641,0.9195781147000659,0.8832743810005053,0.677134915581036,0.9286570384131361,0.8243409916993651,353,122,109,1395,"{'1': 4164, '0': 13646}","{'0': 12923, '1': 4164}",793,0.979616105556488,0.9849557876586914
10,320,0.5,384,11,395,0.7748917748917749,0.9241424802110818,0.8892821031344793,0.6933782688075486,0.9451607100023987,0.8232762956819688,358,115,104,1401,"{'1': 4164, '0': 13647}","{'0': 12865, '1': 4164}",775,0.9804957509040833,0.9858776926994324
