n_train_samples_for_prior,unique_drug_count,unique_target_count,unique_pair_count,train_positive_rate,k_drug,k_target,hash_decimals,drug_repeat_ratio,target_repeat_ratio,Fold
17810,5365,1145,17591,0.23374508702975857,10,10,6,0.6987647389107243,0.9357102751263335,1
17810,5329,1140,17581,0.23374508702975857,10,10,6,0.7007860752386299,0.9359910162829871,2
17810,5339,1140,17583,0.23374508702975857,10,10,6,0.7002245929253228,0.9359910162829871,3
17810,5331,1140,17574,0.23374508702975857,10,10,6,0.7006737787759685,0.9359910162829871,4
17810,5349,1144,17592,0.23374508702975857,10,10,6,0.6996631106120157,0.9357664233576642,5
17810,5357,1140,17583,0.23374508702975857,10,10,6,0.69921392476137,0.9359910162829871,6
17810,5376,1141,17576,0.23380123526108929,10,10,6,0.6981471083660864,0.9359348680516564,7
17810,5363,1143,17573,0.23380123526108929,10,10,6,0.6988770353733857,0.935822571588995,8
17810,5370,1148,17568,0.23380123526108929,10,10,6,0.6984839977540708,0.9355418304323414,9
17811,5342,1134,17576,0.2337881084722924,10,10,6,0.700072988602549,0.9363314805457301,10
