use_pu_reliability,pu_suspicious_threshold,pu_min_neg_weight,pu_continuous_downweight,n_negative,n_suspicious_negative,suspicious_negative_ratio_in_negative,weight_mean,weight_min,weight_max,Fold
True,0.75,0.5,True,13647,799,0.05854766615373342,0.9794430732727051,0.5,1.0,1
True,0.75,0.5,True,13647,797,0.0584011137979043,0.9797074794769287,0.5,1.0,2
True,0.75,0.5,True,13647,806,0.05906059939913534,0.9794599413871765,0.5,1.0,3
True,0.75,0.5,True,13647,831,0.06089250384699934,0.9790441989898682,0.5,1.0,4
True,0.75,0.5,True,13647,813,0.05957353264453726,0.9791849255561829,0.5,1.0,5
True,0.75,0.5,True,13647,827,0.0605993991353411,0.9788404703140259,0.5,1.0,6
True,0.75,0.5,True,13646,810,0.05935805364209292,0.9792686104774475,0.5,1.0,7
True,0.75,0.5,True,13646,804,0.05891836435585519,0.9795911908149719,0.5,1.0,8
True,0.75,0.5,True,13646,793,0.058112267331086036,0.979616105556488,0.5,1.0,9
True,0.75,0.5,True,13647,775,0.056789037883783984,0.9804957509040833,0.5,1.0,10
