before_enn_counter,after_enn_counter,before_enn_n,after_enn_n,enn_n_neighbors,enn_kind_sel,has_sample_indices,weight_after_enn_mean,weight_after_enn_min,weight_after_enn_max,Fold
"{'1': 4163, '0': 13647}","{'0': 12926, '1': 4163}",17810,17089,5,mode,True,0.9854095578193665,0.5,1.0,1
"{'1': 4163, '0': 13647}","{'0': 12877, '1': 4163}",17810,17040,5,mode,True,0.9854803681373596,0.5,1.0,2
"{'1': 4163, '0': 13647}","{'0': 12883, '1': 4163}",17810,17046,5,mode,True,0.9856261014938354,0.5,1.0,3
"{'1': 4163, '0': 13647}","{'0': 12890, '1': 4163}",17810,17053,5,mode,True,0.985352635383606,0.5,1.0,4
"{'1': 4163, '0': 13647}","{'0': 12894, '1': 4163}",17810,17057,5,mode,True,0.9856649041175842,0.5,1.0,5
"{'1': 4163, '0': 13647}","{'0': 12896, '1': 4163}",17810,17059,5,mode,True,0.9848225712776184,0.5,1.0,6
"{'1': 4164, '0': 13646}","{'0': 12882, '1': 4164}",17810,17046,5,mode,True,0.9851614832878113,0.5,1.0,7
"{'1': 4164, '0': 13646}","{'0': 12849, '1': 4164}",17810,17013,5,mode,True,0.9856624007225037,0.5,1.0,8
"{'1': 4164, '0': 13646}","{'0': 12923, '1': 4164}",17810,17087,5,mode,True,0.9849557876586914,0.5,1.0,9
"{'1': 4164, '0': 13647}","{'0': 12865, '1': 4164}",17811,17029,5,mode,True,0.9858776926994324,0.5,1.0,10
